DateTime,Temperature,Humidity
05.18.2022 13:43:53,29.6,60.14
05.18.2022 13:53:53,29.6,59.66
05.18.2022 14:3:53,29.3,62.52
05.18.2022 14:13:53,29.3,61.48
05.18.2022 14:23:53,29.2,62.11
05.18.2022 14:33:53,29.9,60.53
05.18.2022 14:43:53,29.8,60.48
05.18.2022 14:53:53,29.8,60.59
05.18.2022 15:3:53,29.9,60.25
05.18.2022 15:13:53,29.5,59
05.18.2022 15:23:53,29.2,60.53
05.18.2022 15:33:53,29.6,59
05.18.2022 15:43:53,29.3,60.53
05.18.2022 15:53:53,29,62.04
05.18.2022 16:3:53,28.5,63.96
05.18.2022 16:13:53,28.4,64.31
05.18.2022 16:23:53,28.1,65.63
05.18.2022 16:33:53,27.7,66.22
05.18.2022 16:43:53,27.5,67.28
05.18.2022 16:53:53,27.4,69.15
05.18.2022 17:3:53,27.4,70.08
05.18.2022 17:13:53,27.2,70.83
05.18.2022 17:23:53,26.7,71.97
05.18.2022 17:33:53,26.6,72.86
05.18.2022 17:43:53,26.6,73.14
05.18.2022 17:53:53,26.1,73.56
05.18.2022 18:3:53,25.9,75.61
05.18.2022 18:13:53,25.8,76.37
05.18.2022 18:23:53,25.4,77.37
05.18.2022 18:33:53,25.6,77.04
05.18.2022 18:43:53,24.9,79.79
05.18.2022 18:53:53,24.8,80.32
05.18.2022 19:3:53,24.4,81.07
05.18.2022 19:13:53,24.5,81.94
05.18.2022 19:23:53,24.1,82.75
05.18.2022 19:33:53,24.3,82.77
05.18.2022 19:43:53,24.2,83.22
05.18.2022 19:53:53,24.1,84.25
05.18.2022 20:3:53,24.2,84.54
05.18.2022 20:13:53,24,83.82
05.18.2022 20:23:53,24,84.7
05.18.2022 20:33:53,24,84.48
05.18.2022 20:43:53,24.1,84.12
05.18.2022 20:53:53,24.2,84.65
05.18.2022 21:3:53,24.2,84.62
05.18.2022 21:13:53,23.9,85.52
05.18.2022 21:23:53,23.9,85.83
05.18.2022 21:33:53,23.9,86.23
05.18.2022 21:43:53,24,86.22
05.18.2022 21:53:53,23.7,86.78
05.18.2022 22:3:53,23.8,86.84
05.18.2022 22:13:53,23.8,87.25
05.18.2022 22:23:53,23.7,87.55
05.18.2022 22:33:53,23.8,87.23
05.18.2022 22:43:53,23.9,87.38
05.18.2022 22:53:53,23.8,87.34
05.18.2022 23:3:53,23.8,88.13
05.18.2022 23:13:53,23.8,87.92
05.18.2022 23:23:53,23.8,88
05.18.2022 23:33:53,23.7,87.88
05.18.2022 23:43:53,23.7,88.46
05.18.2022 23:53:53,23.7,88.25
05.19.2022 0:3:53,23.6,87.34
05.19.2022 0:13:53,23.7,87.94
05.19.2022 0:23:53,23.7,88.26
05.19.2022 0:33:53,23.7,87.26
05.19.2022 0:43:53,23.7,86.3
05.19.2022 0:53:53,23.7,86.35
05.19.2022 1:3:53,23.7,88.23
05.19.2022 1:13:53,23.7,88.43
05.19.2022 1:23:53,23.5,88.9
05.19.2022 1:33:53,23.5,89.6
05.19.2022 1:43:53,23.5,88.87
05.19.2022 1:53:53,23.5,84.79
05.19.2022 2:3:53,23.4,86.28
05.19.2022 2:13:53,23.5,87.32
05.19.2022 2:23:53,23.4,85.91
05.19.2022 2:33:53,23.5,84.53
05.19.2022 2:43:53,23.4,86.4
05.19.2022 2:53:53,23.4,86.04
05.19.2022 3:3:53,23.3,86.19
05.19.2022 3:13:53,23.4,85.46
05.19.2022 3:23:53,23.4,86.8
05.19.2022 3:33:53,23.5,85.4
05.19.2022 3:43:53,23.4,88.18
05.19.2022 3:53:53,23.4,86.8
05.19.2022 4:3:53,23.4,88.15
05.19.2022 4:13:53,23.2,87.8
05.19.2022 4:23:53,23.3,87.73
05.19.2022 4:33:53,23.3,86.63
05.19.2022 4:43:53,23.3,87.67
05.19.2022 4:53:53,23.5,87.79
05.19.2022 5:3:53,23.6,86.84
05.19.2022 5:13:53,23.3,87.56
05.19.2022 5:23:53,23.5,86.29
05.19.2022 5:33:53,23.5,88.61
05.19.2022 5:43:53,23.5,88.07
05.19.2022 5:53:53,23.5,87.6
05.19.2022 6:3:53,23.8,87.9
05.19.2022 6:13:53,23.5,88.13
05.19.2022 6:23:53,23.4,88.91
05.19.2022 6:33:53,23.7,88.16
05.19.2022 6:43:53,24,85.45
05.19.2022 6:53:53,24,86.37
05.19.2022 7:3:53,24.4,84.9
05.19.2022 7:13:53,24.8,84
05.19.2022 7:23:53,25,83.36
05.19.2022 7:33:53,25.2,82.64
05.19.2022 7:43:53,25.1,82.74
05.19.2022 7:53:53,25.6,80.96
05.19.2022 8:3:53,26,76.93
05.19.2022 8:13:53,26.1,76.42
05.19.2022 8:23:53,26.3,77.23
05.19.2022 8:33:53,26.5,75.46
05.19.2022 8:43:53,27.1,75.82
05.19.2022 8:53:53,27.1,74.18
05.19.2022 9:3:53,26.7,77.31
05.19.2022 9:13:53,27.5,71.75
05.19.2022 9:23:53,28,71.71
05.19.2022 9:33:53,27.6,73.66
05.19.2022 9:43:53,27.4,74.06
05.19.2022 9:53:53,27.6,72.98
05.19.2022 10:3:53,27.9,72.5
05.19.2022 10:13:53,28.2,71.45
05.19.2022 10:23:53,28.4,69.33
05.19.2022 10:33:53,28.2,70.14
05.19.2022 10:43:53,28.5,69.74
05.19.2022 10:53:53,28.7,69.82
05.19.2022 11:3:53,28.8,69.13
05.19.2022 11:13:53,29.6,67.21
05.19.2022 11:23:53,29.5,66.58
05.19.2022 11:33:53,29.5,67.49
05.19.2022 11:43:53,29.7,67.08
05.19.2022 11:53:53,29.8,65.63
05.19.2022 12:3:53,29.7,65.73
05.19.2022 12:13:53,29.6,66.5
05.19.2022 12:23:53,30,66.14
05.19.2022 12:33:53,29.9,63.12
05.19.2022 12:43:53,30.7,61.96
05.19.2022 12:53:53,30.5,64.14
05.19.2022 13:3:53,30.3,65.82
05.19.2022 13:13:53,30.1,67.36
05.19.2022 13:23:53,30.1,65.97
05.19.2022 13:33:53,29.9,66.26
05.19.2022 13:43:53,30,65.38
05.19.2022 13:53:53,30.3,64.48
05.19.2022 14:3:53,30.1,63.46
05.19.2022 14:13:53,30.5,62.74
05.19.2022 14:23:53,30.6,61.94
05.19.2022 14:33:53,30.5,62.48
05.19.2022 14:43:53,30.3,63.29
05.19.2022 14:53:53,30.1,62.93
05.19.2022 15:3:53,30.1,64.53
05.19.2022 15:13:53,30.2,65.19
05.19.2022 15:23:53,30,63.71
05.19.2022 15:33:53,30.3,62.57
05.19.2022 15:43:53,30.2,63.17
05.19.2022 15:53:53,30.1,64.35
05.19.2022 16:3:53,29.9,63.15
05.19.2022 16:13:53,29.6,63.14
05.19.2022 16:23:53,29.4,64.02
05.19.2022 16:33:53,29.4,64.33
05.19.2022 16:43:53,29.1,67.05
05.19.2022 16:53:53,28.7,70.08
05.19.2022 17:3:53,28.7,70.2
05.19.2022 17:13:53,28.9,70.79
05.19.2022 17:23:53,28.5,70.83
05.19.2022 17:33:53,28.4,70.94
05.19.2022 17:43:53,28.1,72.58
05.19.2022 17:53:53,27.9,74.9
05.19.2022 18:3:53,28,75.17
05.19.2022 18:13:53,27.6,75.1
05.19.2022 18:23:53,27.3,77.7
05.19.2022 18:33:53,27.1,78.33
05.19.2022 18:43:53,27,79.01
05.19.2022 18:53:53,26.7,78.77
05.19.2022 19:3:53,26.4,80.92
05.19.2022 19:13:53,26.4,79.71
05.19.2022 19:23:53,26.2,80.97
05.19.2022 19:33:53,26.1,81.27
05.19.2022 19:43:53,25.8,82.78
05.19.2022 19:53:53,26.1,82.32
05.19.2022 20:3:53,25.7,82.59
05.19.2022 20:13:53,26.2,81.17
05.19.2022 20:23:53,25.9,82.44
05.19.2022 20:33:53,25.5,82.94
05.19.2022 20:43:53,25.6,83.43
05.19.2022 20:53:53,25.6,83.47
05.19.2022 21:3:53,25.4,84.83
05.19.2022 21:13:53,25.4,84.93
05.19.2022 21:23:53,25.3,85.05
05.19.2022 21:33:53,25.9,82.96
05.19.2022 21:43:53,25,86.36
05.19.2022 21:53:53,25.2,84.55
05.19.2022 22:3:53,25.1,86.89
05.19.2022 22:13:53,25.2,85.1
05.19.2022 22:23:53,25.3,84.37
05.19.2022 22:33:53,25,86.41
05.19.2022 22:43:53,25,86.14
05.19.2022 22:53:53,25.6,81.2
05.19.2022 23:3:53,26,81.36
05.19.2022 23:13:53,26.1,79.09
05.19.2022 23:23:53,25,85.36
05.19.2022 23:33:53,25.7,83.14
05.19.2022 23:43:53,25.1,84.24
05.19.2022 23:53:53,25.1,85.75
05.20.2022 0:3:53,25.3,82.15
05.20.2022 0:13:53,25.6,81.41
05.20.2022 0:23:53,25.3,80.69
05.20.2022 0:33:53,25,82.74
05.20.2022 0:43:53,24.6,86.69
05.20.2022 0:53:53,24.6,81.05
05.20.2022 1:3:53,24.6,85.34
05.20.2022 1:13:53,24.5,87.31
05.20.2022 1:23:53,24.5,87.95
05.20.2022 1:33:53,24.4,88.58
05.20.2022 1:43:53,24.5,88.11
05.20.2022 1:53:53,24.6,87.06
05.20.2022 2:3:53,24.5,88.87
05.20.2022 2:13:53,24.5,86.59
05.20.2022 2:23:53,24.3,88.97
05.20.2022 2:33:53,24.3,88.72
05.20.2022 2:43:53,24.5,88.29
05.20.2022 2:53:53,24.5,88.19
05.20.2022 3:3:53,24.3,88.52
05.20.2022 3:13:53,24.2,89.57
05.20.2022 3:23:53,24.1,89.09
05.20.2022 3:33:53,24.1,89.54
05.20.2022 3:43:53,23.9,89.95
05.20.2022 3:53:53,23.8,90.38
05.20.2022 4:3:53,23.7,91.23
05.20.2022 4:13:53,23.5,91.89
05.20.2022 4:23:53,23.6,91.99
05.20.2022 4:33:53,23.6,92.53
05.20.2022 4:43:53,23.4,93.09
05.20.2022 4:53:53,23.4,92.58
05.20.2022 5:3:53,23.3,93.38
05.20.2022 5:13:53,23.4,92.49
05.20.2022 5:23:53,23.5,91.9
05.20.2022 5:33:53,23.7,91.18
05.20.2022 5:43:53,23.8,90.59
05.20.2022 5:53:53,24,89.96
05.20.2022 6:3:53,23.9,89.94
05.20.2022 6:13:53,24.2,88.89
05.20.2022 6:23:53,24.4,88.61
05.20.2022 6:33:53,24.5,87.38
05.20.2022 6:43:53,24.6,86.06
05.20.2022 6:53:53,25,84.82
05.20.2022 7:3:53,25.4,83.6
05.20.2022 7:13:53,25.7,83.02
05.20.2022 7:23:53,25.6,82.53
05.20.2022 7:33:53,26.1,81.03
05.20.2022 7:43:53,25.9,81.71
05.20.2022 7:53:53,25.9,81.36
05.20.2022 8:3:53,26.2,80.54
05.20.2022 8:13:53,26.2,80.12
05.20.2022 8:23:53,26.9,76.78
05.20.2022 8:33:53,26.8,76.33
05.20.2022 8:43:53,27.3,75.25
05.20.2022 8:53:53,27.5,74.67
05.20.2022 9:3:53,27.7,73.01
05.20.2022 9:13:53,28.2,71.35
05.20.2022 9:23:53,27.8,73.04
05.20.2022 9:33:53,28,73.2
05.20.2022 9:43:53,28.1,71.98
05.20.2022 9:53:53,28.5,71.52
05.20.2022 10:3:53,28.4,70.96
05.20.2022 10:13:53,28.8,70.01
05.20.2022 10:23:53,29.1,69.15
05.20.2022 10:33:53,28.8,69.77
05.20.2022 10:43:53,29.2,69.98
05.20.2022 10:53:53,28.9,70.49
05.20.2022 11:3:53,28.6,70.39
05.20.2022 11:13:53,28.7,70.24
05.20.2022 11:23:53,28.2,71.18
05.20.2022 11:33:53,28.5,69.8
05.20.2022 11:43:53,28.6,69.38
05.20.2022 11:53:53,28.9,68.44
05.20.2022 12:3:53,29,68.99
05.20.2022 12:13:53,28.5,70.41
05.20.2022 12:23:53,28.6,69.51
05.20.2022 12:33:53,28.4,69.15
05.20.2022 12:43:53,28.4,69.75
05.20.2022 12:53:53,28.5,69.51
05.20.2022 13:3:53,29,65.93
05.20.2022 13:13:53,29.2,66.43
05.20.2022 13:23:53,29.2,67.36
05.20.2022 13:33:53,29.6,65.65
05.20.2022 13:43:53,29.6,64.85
05.20.2022 13:53:53,29.3,67.42
05.20.2022 14:3:53,30.2,65.19
05.20.2022 14:13:53,29.8,65.41
05.20.2022 14:23:53,30.3,63.5
05.20.2022 14:33:53,30.2,62.95
05.20.2022 14:43:53,30.1,63.43
05.20.2022 14:53:53,30.5,63.2
05.20.2022 15:3:53,30.2,62.89
05.20.2022 15:13:53,30.3,61.62
05.20.2022 15:23:53,30.5,61.9
05.20.2022 15:33:53,30.8,59.39
05.20.2022 15:43:53,30.4,62.93
05.20.2022 15:53:53,30.2,63.72
05.20.2022 16:3:53,29.8,66.41
05.20.2022 16:13:53,29.4,66.44
05.20.2022 16:23:53,29.3,65.5
05.20.2022 16:33:53,29.3,67.53
05.20.2022 16:43:53,29,66.31
05.20.2022 16:53:53,28.5,69.44
05.20.2022 17:3:53,28.3,71.43
05.20.2022 17:13:53,28.3,72.24
05.20.2022 17:23:53,27.8,72.46
05.20.2022 17:33:53,27.4,73.22
05.20.2022 17:43:53,27.2,74.58
05.20.2022 17:53:53,26.9,75.81
05.20.2022 18:3:53,26.9,76.51
05.20.2022 18:13:53,26.6,76.98
05.20.2022 18:23:53,26.5,77.69
